track_id,genre
TRBBTUV128F933D382,Rock
TRBBTSI128E0790E7B,Reggae
TRBBTUD128F42A10A3,Rock
TRBBTFO128EF345397,Country
TRBBTDV128F934F6B1,Country
TRBBTZW12903CE7495,Country
TRBBTLA128F4226907,Rock
TRBBRYI128F42370F5,Rock
TRBBRRS128F4256EEF,Reggae
TRBBRJN128F425C040,Pop
TRBBRFQ12903CE2997,Reggae
TRBBRTY128F4260973,Rock
TRBBBUG128F148D65B,Rock
TRBBBEA128F93391BA,Pop
TRBBBOA128F42624DA,Rock
TRBBBMT128F42A0A4E,Hip-Hop
TRBBOUN128F425A4E6,Pop
TRBBOPX12903D106F7,Pop
TRBBOKQ128F933AE7C,Rock
TRBBOPV12903CFB50F,Pop
TRBBOJM12903CD1BDD,Jazz
TRBBOFH128F14A2A46,R&B
TRBBOUO128F92D246B,Jazz
TRBBDPA12903CCCA06,Rock
TRBBDLG128F9308703,Latin
TRBBDAH128F92E625E,R&B
TRBBJBO128F92EB2C5,Rock
TRBBJFO12903D074EE,Hip-Hop
TRBBJPY128F92F31E0,Jazz
TRBBJAJ128F425DA40,Rock
TRBBJVE128F9303F10,Rock
TRBBWNS128F426F760,Rock
TRBBWDJ128F42595D5,Rock
TRBBZJW12903CF71A6,Electronic
TRBBZOG128F422B02B,Rock
TRBBZQM128F931A529,Pop
TRBBICL128F42ADFD3,Rock
TRBBILZ12903CB422C,Rock
TRBBIBE128F4226E29,Rock
TRBBIYI128F92E13CC,Rock
TRBBVFB128F1461507,Rock
TRBBVYO128F146AEDC,Latin
TRBBVBM128F4276D82,Rock
TRBBVAH128F4270300,Hip-Hop
TRBBVNR128E078E1E4,Hip-Hop
TRBBVSO128F9341C12,Country
TRBBVYI128F4291603,Rock
TRBBVXL128F427C3F2,Rock
TRBBHQJ128F92CC610,Hip-Hop
TRBBHQO128F9341FC8,Reggae
TRBBHFE12903CA5EEB,Rock
TRBBHUW128F429476F,Hip-Hop
TRBBHPQ128F145A7F8,Rock
TRBBHUR128F92FDBE2,Country
TRBBHHP128EF365DA0,Pop
TRBBHWG128F4249F32,Latin
TRBBYYL128F4236EBC,Hip-Hop
TRBBYDT128F14805B4,Rock
TRBBYGX12903CEF0BC,Jazz
TRBBYOI128F4256732,Rock
TRBBAIC12903D11771,Hip-Hop
TRBBANU128F422B87B,R&B
TRBBANR128F4277C5B,Rock
TRBBAQJ128F92F1336,Rock
TRBBARP128F9306CBE,Hip-Hop
TRBBAHD128F428E0FE,Rock
TRBBAKH128F92FA339,Rock
TRBBQPP128F92EE611,Reggae
TRBBQHG12903CB5AD2,Country
TRBBQMY128F9320AF7,Country
TRBBQFV128F4252EFF,Pop
TRBBQJZ128F92C5AF2,Rock
TRBBQGV12903CB5CD3,R&B
TRBBGEG128F425CEDD,Jazz
TRBBGQN128F9310CBE,Rock
TRBBGOG128EF33EDCA,Rock
TRBBGUV128F92DFA21,Hip-Hop
TRBBCOM128F92F1208,R&B
TRBBCUA128E078FA50,Rock
TRBBCZA128F146587F,Country
TRBBCVJ128F425BE2C,Rock
TRBBCJH128F930C970,Jazz
TRBBKTZ128F1456D67,Hip-Hop
TRBBKXZ128F4215C88,Pop
TRBBKMZ128F93539F4,Hip-Hop
TRBBKLD128F424ABF5,Rock
TRBBULA128F146E122,Rock
TRBBUBC128F148CBAA,Hip-Hop
TRBBUCK128F42AFAD6,Hip-Hop
TRBBLTV12903CC3C00,Pop
TRBBLUO12903CEDBD2,Hip-Hop
TRBBLTE128F42558EF,Rock
TRBBLFA12903CDC496,Country
TRBBLUS128F4276631,Pop
TRBBFBZ128F42493ED,Rock
TRBBFRR128F426CD17,Rock
TRBBFOT12903CBCB4F,Reggae
TRBBPSX128F93332EE,Latin
TRBBPGL128F933E34C,Hip-Hop
TRBBMIF12903CA1EB0,Rock
TRBBMQN128EF35F995,Pop
TRBBMTZ128F4260C61,Rock
TRBBMLR128F1466822,Rock
TRBBMXI128F428CCD1,Rock
TRBBMTJ128F1477785,Pop
TRBBMAL128F146B288,Latin
TRBBMXP128F9325219,Pop
TRBBMDA12903CB688E,Electronic
TRBBMPH128F1469775,Rock
TRBBXMC128F422C330,Rock
TRBBXEG128F424EC2C,Rock
TRBBXML128F4256DFF,Rock
TRBBXLI128F931BC58,Pop
TRBBXSE128F42798F6,Pop
TRBBXWG128F148B444,Pop
TRBBEEP128F147F1BF,Latin
TRBBEYU128F4235623,Hip-Hop
TRBBEGG128F9314BAA,Country
TRBBNPX12903CA5375,Reggae
TRBBNTP128F92D934C,Rock
TRBBNKD128F92F251E,Rock
TRBBNHZ128F423E599,Electronic
TRBDTWR128F149E9B7,Jazz
TRBDTZX128F92DFA66,Rock
TRBDTEG128F4265CC9,Country
TRBDTNY128F9327A10,Rock
TRBDRIT128F42929A1,Hip-Hop
TRBDRBO128F9313A38,Rock
TRBDRBR128F424D5B6,Pop
TRBDROB128F93093CA,Latin
TRBDRCK128F92F738B,Rock
TRBDREO128F427F114,Rock
TRBDRTN12903D021D9,Rock
TRBDRHL128F1474BBC,Rock
TRBDRSG128F92D2583,Rock
TRBDRIN128F9308ABF,Latin
TRBDBIU128E0791595,Hip-Hop
TRBDBWW128F426D386,Rock
TRBDBDS128F4263E48,Rock
TRBDBJM128F1456D2D,Rock
TRBDBXO128F42B3E45,Pop
TRBDBGX128F92F3BC9,Rock
TRBDBRX128F92F6E19,Reggae
TRBDBVM128F427BCC9,Rock
TRBDOBL128F933B262,Jazz
TRBDOGI128F4252243,Rock
TRBDOVF128E0795641,Reggae
TRBDOMM12903CA0A9B,R&B
TRBDOEI128F9329AE5,Pop
TRBDOGK128F42372FD,Hip-Hop
TRBDDKF128F426BF7B,Rock
TRBDDMU128F9350474,Rock
TRBDDET12903CBD912,Rock
TRBDDRB12903D133C5,Country
TRBDDTT128F4291192,Rock
TRBDJUT128F9352FB1,Rock
TRBDJUQ128F148C4A5,Pop
TRBDJTR128F42A6A28,Hip-Hop
TRBDJNN12903D05054,Rock
TRBDJNF12903CE6967,Rock
TRBDJWO128F427218D,Latin
TRBDWXK128F930E6DD,Rock
TRBDWDQ128F1455787,Rock
TRBDWCU128F4223233,Latin
TRBDWRY128F427991E,Rock
TRBDWMK12903CED145,Jazz
TRBDWBW128F932C973,Rock
TRBDWLE128F42B3112,Pop
TRBDZBH12903CE85E4,Rock
TRBDZSK128F92F8E05,Reggae
TRBDZVP12903CC0089,Hip-Hop
TRBDIOP128EF35F99C,Rock
TRBDITK128F931B9A7,Rock
TRBDISR128F423E194,Pop
TRBDIPI128F4279185,Latin
TRBDIMX128F147A307,Latin
TRBDIKL128F42649B0,Latin
TRBDIBC12903CE95C2,Rock
TRBDVZL128F92F579F,Rock
TRBDVJF128E078894B,Rock
TRBDVVN128F4285CC6,Hip-Hop
TRBDVBK128F4263798,Rock
TRBDVVT128F4279D11,Hip-Hop
TRBDVFB128F9339FCC,Rock
TRBDHUR128F423EC48,Rock
TRBDHDP128F422931B,Rock
TRBDHUE128F9317991,Country
TRBDHZE12903CAACBF,Country
TRBDHSQ12903CDB3E8,Rock
TRBDHKL128F426BE45,Pop
TRBDYKO128F423829E,Latin
TRBDYEJ128F9320633,Country
TRBDYNW128F425E6BE,Rock
TRBDYYN128F92F383F,R&B
TRBDYFY128F93330AA,Jazz
TRBDYIC128F92F1D17,Hip-Hop
TRBDAXF128F92F6565,Hip-Hop
TRBDANT128E0782452,Rock
TRBDAYU128F9342A51,Rock
TRBDAVU128F423814A,Rock
TRBDQIR12903CF0C9C,Rock
TRBDQVN128F425CF6D,Latin
TRBDQAX12903CFD642,Pop
TRBDGXH128F92E1661,Rock
TRBDGEW128F93333E0,Rock
TRBDGLL128F9343CD1,Latin
TRBDGQU128F146607A,Rock
TRBDGNU128E078A4AF,Latin
TRBDGOB12903CD8CB9,Reggae
TRBDCPM128F9331795,Rock
TRBDCAB128F92F7EE4,Rock
TRBDCAH128EF362D31,Hip-Hop
TRBDKFP128F4243502,Rock
TRBDKQX12903CAE132,Latin
TRBDKOV128F4290943,Rock
TRBDUSM128F9339A13,Rock
TRBDUYE12903CB246F,Rock
TRBDUAZ128F92D718A,Hip-Hop
TRBDUXD128F148328A,Pop
TRBDUAQ128F427154D,Latin
TRBDLIB128F9338167,Rock
TRBDLLL128F9331D6E,Hip-Hop
TRBDLXL128F4239ED3,Reggae
TRBDLRT128F4296B2F,Hip-Hop
TRBDLDS128F429C171,Hip-Hop
TRBDSXN128F4293DA9,Rock
TRBDSFP128E07937B9,Rock
TRBDSNM128F930A19E,Jazz
TRBDSGK128F92F2C59,Pop
TRBDSWA128F92FE70A,Country
TRBDSUH128F9312296,Country
TRBDSPX12903CFA94C,Electronic
TRBDSLA128F4288246,R&B
TRBDFLD128F92D076F,R&B
TRBDFCT128F4285E05,Country
TRBDFJX128F92C2847,Rock
TRBDFKG128F4263AAF,Rock
TRBDPSN128F4283509,Jazz
TRBDPDP128F92E58C9,Pop
TRBDPAO12903CACA04,Pop
TRBDPHY128F4218493,Rock
TRBDMRW128F933A391,Reggae
TRBDMAU128F935960B,Country
TRBDMZP128F93499E4,Rock
TRBDMDS128F930B8F1,Rock
TRBDMJK128F4221E31,Hip-Hop
TRBDMIN128F147FCBB,Pop
TRBDMFL128F145F691,Latin
TRBDMCC128F9358267,Country
TRBDMVQ128F9327FBD,Jazz
TRBDXOG128F427031F,Hip-Hop
TRBDXIM128F427ABDA,R&B
TRBDXOD128F422C47B,Jazz
TRBDXKI128F9325211,Rock
TRBDEXK128F9338916,Jazz
TRBDENB128F42B7798,Hip-Hop
TRBDEXM128F4291A7F,Rock
TRBDNGV128F42895AE,Country
TRBDNNW12903CAFCE1,Electronic
TRBDNIZ128E0781CCF,Rock
TRBDNDQ128F42515E6,Rock
TRBDNZI128F14A9065,Rock
TRBDNDG128E0782EDC,Rock
TRBDNGV128EF3431B5,R&B
TRBDNXF12903D07824,Pop
TRBIBTU128F92FDC9D,Electronic
TRBIBGN128F42ADC66,Rock
TRBIBLJ12903CCF436,Pop
TRBIBKA128F42947BF,Hip-Hop
TRBIBTE128E078E882,Pop
TRBIBAQ128F93279F5,Rock
TRBIDUD128F92FA11C,Rock
TRBIDPO128F423508A,Rock
TRBIDUK128F42806A4,Rock
TRBIJMU12903CF892B,Rock
TRBIJYB128F14AE326,Rock
TRBIJES12903CF5B12,Rock
TRBIJNF128F14815A7,Pop
TRBIJFB128F92ED124,Rock
TRBIJLT12903CE7070,Rock
TRBIIOT128F423C594,Rock
TRBIIEU128F9307C88,Rock
TRBIIJY12903CE4755,Country
TRBIICD128F14553D8,Hip-Hop
TRBIIXI128F9344121,Pop
TRBIHQM128F92F83BA,Electronic
TRBIHOC12903CE371C,Rock
TRBIHMZ128F42B7CF3,Jazz
TRBIHAU128F425C317,Rock
TRBIHKT128F4290554,Pop
TRBIANJ128F423A53A,Rock
TRBIAVP12903CEDA19,Rock
TRBIAVI128F424A89C,Electronic
TRBIANT128F425C487,Pop
TRBIACM128F930021A,Rock
TRBIAVU128EF3493BA,Country
TRBIAHA128F42A4C9B,Rock
TRBIACJ128F93087A9,Rock
TRBIAGO128F42640FB,Rock
TRBIGRZ128E0792329,Pop
TRBIGAK128F424C305,Rock
TRBIGJN128F4222B19,Jazz
TRBIGUJ128F92D674F,R&B
TRBIGOC12903CC4FDF,Rock
TRBIGXB12903CBFE1F,Rock
TRBIGTG128F92EDBAC,Rock
TRBIGRY128F42597B3,R&B
TRBIGRU128F145B139,Rock
TRBICHF128F92E42FA,Hip-Hop
TRBICGT128E0792473,Rock
TRBICRP128F42882BB,Hip-Hop
TRBICPL128F9303BB0,Jazz
TRBICVB128F9326B65,Rock
TRBICQR128F9322603,Hip-Hop
TRBICXY128F428A9C8,Rock
TRBICEA128F93668AA,Hip-Hop
TRBICWI128F4234787,Rock
TRBIFOK128EF362D20,Hip-Hop
TRBIFWB128F1460D8C,Rock
TRBIFUV12903D07374,Pop
TRBIFGK128F92F23A2,Rock
TRBIFUD128F1495AE2,Hip-Hop
TRBIFNO128F42702FB,Hip-Hop
TRBIEIZ128F148D778,Hip-Hop
TRBIEHQ12903CB66CE,Latin
TRBIELT128F93381E6,Latin
TRBHTUI12903CB00F3,Electronic
TRBHTKF128F92CC5D2,Rock
TRBHTOR128F428CADE,Rock
TRBHRUL12903CCDF09,Hip-Hop
TRBHRGW128F92FFEFF,Electronic
TRBHRGA128F4268884,Rock
TRBHRKO128F42479B1,Rock
TRBHRLX128F93466B9,Pop
TRBHRKE12903CFC929,Electronic
TRBHRGS128F92E535F,Hip-Hop
TRBHRGD12903CA7A58,Reggae
TRBHBGB128F931E4CF,Rock
TRBHORY128F148D422,Hip-Hop
TRBHOXO128F932A739,Reggae
TRBHOXV128F92FBB72,Country
TRBHOEV128F4279182,Rock
TRBHOYO12903C9C917,Pop
TRBHDJD128F4227A54,Latin
TRBHDGL128F42324A7,Rock
TRBHDTL128F1468F7D,Rock
TRBHDSI128F9331867,Hip-Hop
TRBHJZO128F4215FC5,Hip-Hop
TRBHJAY128F14A9061,Rock
TRBHJPQ128E078ED8F,Rock
TRBHJLT128F1460832,Rock
TRBHJJP128F145EA12,Country
TRBHJUJ128F92EBE24,Pop
TRBHWBQ12903CD4338,Rock
TRBHWTF128F92EA841,Rock
TRBHWRM12903CD3111,Electronic
TRBHWYD128F146A6FA,Pop
TRBHZAA128F4271AE9,Rock
TRBHZAC12903CF573E,Jazz
TRBHZYO128E07862BE,Hip-Hop
TRBHZNF128F14989FE,Rock
TRBHZUN12903CA60F7,Pop
TRBHIPU12903CC380E,Rock
TRBHIZF12903CC27D1,Rock
TRBHIJC128F92E55E2,Rock
TRBHIOA12903CD824F,Latin
TRBHVLH128F92F2369,Pop
TRBHVSO128F92EFA78,Rock
TRBHVTI128F934DAA4,Jazz
TRBHHAC128F92D8379,Rock
TRBHHFG128F93353FE,Latin
TRBHHUB12903D09FEA,Rock
TRBHHCS128F427F936,Rock
TRBHHRC128F427F353,Rock
TRBHHGM12903CFD7C3,Rock
TRBHHCI12903CAEEB5,Rock
TRBHHWQ128F93321AB,Rock
TRBHHUF12903CAA46B,Rock
TRBHHUC128F4294C6F,Rock
TRBHHCU128F148AF19,R&B
TRBHYFI128F426C713,Latin
TRBHYBJ128C7196D75,Hip-Hop
TRBHYIK128F92E210B,Rock
